numero_dpe;date_etablissement_dpe;etiquette_dpe;etiquette_ges;type_batiment;annee_construction;type_installation_chauffage;hauteur_sous_plafond;surface_habitable_logement;code_postal_ban;code_departement_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;nom_commune_ban;besoin_chauffage
2630E0017072Z;05/01/2026;D;D;immeuble;1970;mixte (collectif-individuel);2.6;;30000;30;810545.94;6304911.11;N̨mes;58189.4
2530E2581517L;08/08/2025;D;B;appartement;;individuel;2.7;54.9;30000;30;810103.45;6305811.55;N̨mes;5548.8
2430E1621508Z;05/05/2024;C;C;appartement;2013;individuel;2.5;36.7;30900;30;809173.55;6304498.05;N̨mes;736.9
2530E3375577F;26/10/2025;C;B;maison;1985;;2.5;91.5;30121;30;796915.97;6294488.68;Mus;8048.9
2330E3517502U;18/10/2023;C;A;appartement;;individuel;3;69.3;30000;30;809227.55;6305170.82;N̨mes;2341.7
2230E1371495A;20/06/2022;C;C;appartement;;individuel;2.5;48.8;30000;30;810859.11;6305193.87;N̨mes;1887.6
2530E2266073Z;09/07/2025;C;A;appartement;;individuel;2.7;82.1;30900;30;809014.93;6304959.34;N̨mes;3855.4
2530E3353701V;23/10/2025;D;B;appartement;1945;individuel;2.5;31.2;30128;30;814949.31;6297787.63;Garons;2455.7
2530E0949686S;20/03/2025;F;C;appartement;1921;individuel;2.5;47;30126;30;836132.46;6329846.97;Saint-Laurent-des-Arbres;8517.1
2530E1633513T;16/05/2025;D;B;maison;1975;;2.7;189.6;30430;30;807907.28;6357386.85;Barjac;20951.9
2530E2533435D;02/08/2025;A;A;maison;2014;;2.5;80;30126;30;836593.32;6325378.57;Tavel;2868.7
2430E1652813A;06/05/2024;C;A;appartement;1921;individuel;2.5;20.3;30000;30;809198.47;6305299.02;N̨mes;1049.5
2430E3006199I;29/08/2024;C;A;appartement;2010;individuel;2.5;55.1;30000;30;810940.85;6307136.23;N̨mes;2193.5
2630E0029941Y;07/01/2026;D;D;maison;;;2.5;119.9;30350;30;788755.48;6321892.75;L̩dignan;17414.7
2430E2543137G;14/07/2024;C;A;maison;2009;;4;169.8;30530;30;783820.82;6353337;Portes;17020.1
2230E1092413C;19/05/2022;D;B;appartement;1978;individuel;2.5;56.2;30000;30;809882.86;6305473.42;N̨mes;4193.8
2530E1656718G;19/05/2025;B;A;maison;;;2.5;112.7;30540;30;805164.27;6299842.65;Milhaud;11655.3
2530E2148127P;30/06/2025;D;B;appartement;;individuel;2.7;13.3;30000;30;809861.74;6305583.2;N̨mes;1511.1
2430E4259803W;02/12/2024;C;A;maison;;;2.5;146.7;30360;30;792151.77;6330285.75;Deaux;10410.4
2630E0012237A;05/01/2026;C;A;appartement;;individuel;2.5;37.8;30240;30;792947.63;6269461.2;Le Grau-du-Roi;1435.4
2430E3996811U;13/11/2024;C;A;appartement;;individuel;3.2;47;30000;30;809488.81;6305470.95;N̨mes;2287.1
2530E0904641F;17/03/2025;D;D;appartement;1974;collectif;2.5;55.1;30900;30;808701.41;6304626.54;N̨mes;4598
2630E0041802D;08/01/2026;B;A;maison;1987;;2.5;141;30140;30;777782.49;6327405.25;Anduze;8358.7
2530E3880278U;10/12/2025;D;B;maison;;;2.4;98;30260;30;779963.11;6312423.08;Quissac;10877
2430E1697996V;14/05/2024;C;C;maison;1984;;2.5;94.7;30620;30;805789.53;6296324.57;Aubord;5776.9
2530E1424589F;28/04/2025;D;B;appartement;;individuel;2.7;24.4;30900;30;809014.93;6304959.34;N̨mes;2679.9
2530E0300277L;28/01/2025;F;C;maison;;;2.5;59.6;30190;30;797371.09;6321853.09;Brignon;10888.5
2330E4359630I;17/12/2023;D;D;maison;;;3;120.4;30350;30;784254.33;6324613.76;L̩zan;16476.9
2630E0053700T;09/01/2026;C;B;maison;;;2.4;67.1;30330;30;827649.9;6333804.49;Connaux;7970.6
2630E0012777U;05/01/2026;E;C;appartement;1960;individuel;2.6;63;30160;30;786898.31;6355534.25;Bess̬ges;8606.4
2530E1331606Y;18/04/2025;C;C;appartement;;collectif;2.5;78.4;30900;30;807519.19;6303691.96;N̨mes;3892.9
2430E3055410B;03/09/2024;E;E;appartement;1900;individuel;2.5;54.3;30700;30;813885.08;6324800.18;Uz̬s;16840.6
2530E0030113N;06/01/2025;C;C;maison;;;2.5;91.5;30000;30;813883.91;6309662.19;N̨mes;4695.2
2530E3774837J;01/12/2025;B;A;maison;1977;;2.5;113.6;30820;30;801566.48;6303474.41;Caveirac;12815.3
2530E3483973H;04/11/2025;E;C;maison;1948;;2.5;47.6;30250;30;790337.09;6297318.16;Junas;7010.5
2230E0142647Q;25/01/2022;E;E;appartement;1962;individuel;2.5;65.9;30200;30;829372.125;6342193;Bagnols-sur-C̬ze;11410
2630E0012303O;05/01/2026;D;B;appartement;1958;individuel;2.5;76;30160;30;786898.31;6355534.25;Bess̬ges;8682
2530E3134936U;03/10/2025;C;C;appartement;1964;individuel;2.6;95.3;30900;30;809430.05;6303871.97;N̨mes;5844.7
2430E2815187S;05/08/2024;C;A;appartement;2009;individuel;2.6;27.2;30900;30;806741.11;6302886.52;N̨mes;778
2630E0059266V;09/01/2026;E;C;appartement;;individuel;2.5;13.7;30000;30;808843.63;6305603.67;N̨mes;1847.2
2530E3962995F;18/12/2025;B;A;appartement;;individuel;2.6;43.8;30000;30;810616.41;6305654.76;N̨mes;2536.1
2430E1711403M;15/05/2024;C;A;maison;2008;;2.6;164.3;30250;30;788194.8;6298609.18;Sommi̬res;12676.2
2530E3728460Q;27/11/2025;D;B;maison;;;2.6;242;30840;30;826286.66;6312251.65;Meynes;32899.7
2430E0040768H;04/01/2024;D;D;appartement;1980;individuel;2.5;85.4;30000;30;809846.22;6303750.34;N̨mes;10354.6
2530E3920143B;15/12/2025;B;A;appartement;;individuel;2.5;48.8;30900;30;808956.79;6304531.67;N̨mes;1040.4
2230E3056862V;09/12/2022;C;B;appartement;1949;individuel;2.5;40;30210;30;826714.06;6328074.34;Pouzilhac;2032
2230E1126722R;23/05/2022;D;B;appartement;;individuel;2.5;45;30700;30;813798.79;6324719.95;Uz̬s;3421.3
2630E0076483A;12/01/2026;C;C;immeuble;2004;individuel;2.5;;30000;30;808169.84;6305382.66;N̨mes;26993.7
2530E3675764W;22/11/2025;C;A;appartement;;individuel;2.5;26.5;30200;30;829519.9;6341977.96;Bagnols-sur-C̬ze;1341.3
2230E0958195W;04/05/2022;C;C;appartement;2006;individuel;2.5;66.2;30000;30;812896.04;6308930.25;N̨mes;1998.6
2430E1908957S;27/05/2024;D;B;appartement;1900;individuel;2.5;121.1;30700;30;813664.87;6324928.69;Uz̬s;15109.6
2230E1552149G;05/07/2022;D;B;maison;1900;;2.6;154.3;30114;30;799306.53;6298039.86;Boissi̬res;30279.8
2630E0035510D;07/01/2026;E;E;appartement;1970;individuel;2.5;56;30100;30;787103.5;6337803.37;Al̬s;8492.3
2230E3071864V;16/12/2022;D;B;appartement;;individuel;2.5;25;30160;30;786998.6;6355697.3;Bess̬ges;2459.3
2430E0645093O;22/02/2024;D;D;maison;;;2.8;123.6;30000;30;809333.2;6305692.77;N̨mes;10369.8
2530E2880873D;11/09/2025;B;A;maison;;;2.5;299;30900;30;809104.4;6301613.76;N̨mes;15664.9
2230E0885750N;26/04/2022;B;A;maison;1947;;2.8;675;30150;30;840632.42;6331981.97;Roquemaure;71910.5
2330E2433752C;19/07/2023;C;C;appartement;2012;collectif;2.5;58.8;30000;30;810251.86;6305450.37;N̨mes;1144.8
2230E2982670H;09/12/2022;C;A;appartement;;individuel;2.4;63.1;30300;30;829606.22;6289255.04;Fourques;2428.3
2530E3375281V;26/10/2025;D;B;appartement;;individuel;2.3;29.1;30130;30;831511.49;6352293.18;Pont-Saint-Esprit;2918.5
2430E0133736Z;13/01/2024;A;A;maison;2020;;2.5;65.4;30800;30;815411.14;6287446.54;Saint-Gilles;2474.7
2530E3822106K;04/12/2025;C;A;appartement;2010;individuel;2.5;54.8;30000;30;810940.85;6307136.23;N̨mes;2395.4
2330E3026953N;12/09/2023;B;A;maison;;;2.5;117;30350;30;788059.87;6321826.36;L̩dignan;5515
2330E3893747T;15/11/2023;B;A;maison;2002;;2.5;201.3;30960;30;793043.42;6348141.94;Les Mages;21354.9
2630E0017223U;05/01/2026;B;A;maison;;;2.5;50;30290;30;832139.14;6335550.91;Laudun-l'Ardoise;1645.5
2630E0053361S;08/01/2026;D;D;maison;;;2.5;64.5;30000;30;810440.71;6304198.65;N̨mes;14530.3
2230E1547847U;06/07/2022;C;B;appartement;;individuel;2.3;13.4;30000;30;809474.95;6305491.05;N̨mes;1059.9
2630E0039880F;07/01/2026;F;C;appartement;;individuel;2.5;34.1;30000;30;809679.45;6305285.52;N̨mes;8223.7
2630E0034418D;07/01/2026;D;D;appartement;;individuel;3.3;67.6;30000;30;809880.59;6305018.93;N̨mes;7490.3
2530E1008823F;24/03/2025;C;A;maison;2012;;2.5;86.6;30340;30;791433.53;6346193.96;Rousson;5004.8
2230E2333150T;06/10/2022;D;B;appartement;1980;individuel;2.4;34.6;30240;30;792473.61;6270460.07;Le Grau-du-Roi;3233.2
2530E3380845V;27/10/2025;C;A;maison;2004;;2.8;85.8;30210;30;818137.62;6312748.03;Cabri̬res;5935
2430E0221632P;20/01/2024;D;C;appartement;1960;individuel;2.5;57.1;30000;30;811236.85;6304736.91;N̨mes;5884.8
2430E2632975O;21/07/2024;E;E;maison;;;2.8;238.8;30960;30;791424.78;6348744.04;Saint-Jean-de-Val̩riscle;36851.6
2630E0064055A;09/01/2026;D;C;maison;;;2.4;138.5;30160;30;790158.69;6357751.97;Gagni̬res;16374.4
2530E1807539B;01/06/2025;C;B;maison;1900;;2.5;54.7;30132;30;811111.22;6300376.84;Caissargues;3619.7
2530E1138382G;02/04/2025;E;B;maison;1900;;3.2;135;30250;30;787716.39;6298879.85;Sommi̬res;17873
2503E3032160V;25/09/2025;D;D;appartement;;individuel;3.4;47.6;30000;30;809420.81;6305337.41;N̨mes;3479.5
2430E1607180X;03/05/2024;C;A;appartement;;individuel;2.8;57.2;30000;30;809372.8;6305205.77;N̨mes;1659.6
2230E1181542D;30/05/2022;C;A;appartement;2011;individuel;2.5;64;30230;30;815907.68;6304038.44;Rodilhan;1988.4
2530E0539352Q;15/02/2025;C;B;appartement;1949;individuel;2.8;41;30000;30;808367.16;6305284.11;N̨mes;2606.6
2330E1941317H;24/05/2023;C;A;appartement;1900;individuel;3.2;76.3;30000;30;809115.43;6305159.67;N̨mes;3401.5
2530E3759299T;29/11/2025;B;A;maison;2007;;2.5;180;30133;30;843380.72;6318530.4;Les Angles;10913.7
2430E3413587C;30/09/2024;C;C;maison;;;2.7;128.9;30150;30;839740.29;6331087.67;Saint-Geni̬s-de-Comolas;8025.5
2630E0043373O;08/01/2026;C;A;maison;;;2.4;106.6;30300;30;832059.78;6301716.96;Beaucaire;10301.5
2230E1166586X;27/05/2022;F;C;appartement;;individuel;2.9;21.4;30000;30;809238.02;6305099.65;N̨mes;4154.4
2530E3672314E;21/11/2025;E;C;appartement;;individuel;3.4;27.1;30000;30;809373.11;6305729.13;N̨mes;3751.8
2330E1487409H;04/05/2023;B;A;maison;2022;;2.5;73.3;30320;30;813129.69;6313392.34;Poulx;3805.1
2430E4202544P;27/11/2024;E;B;appartement;;individuel;2.5;32.3;30000;30;810149.05;6305617.18;N̨mes;4349.9
2530E2814158E;05/09/2025;C;A;maison;2000;;2.5;79.3;30000;30;811072.99;6305926.9;N̨mes;5185
2530E3859403X;09/12/2025;D;D;maison;;;2.8;133.7;30520;30;787235.87;6339859.81;Saint-Martin-de-Valgalgues;21355.8
2530E3565132U;12/11/2025;C;A;maison;1980;;2.4;141.9;30500;30;797716.88;6350012.51;Saint-Victor-de-Malcap;12197.8
2630E0073793O;12/01/2026;C;C;maison;1982;;2.5;108;30300;30;829447.15;6306102.08;Comps;12206.5
2330E2649952M;05/08/2023;E;B;maison;;;2.3;102.5;30430;30;807502.86;6357493.82;Barjac;16834.4
2530E3381074Q;27/10/2025;C;C;appartement;2019;individuel;2.5;30.1;30000;30;810982.67;6303978.48;N̨mes;423.9
2230E2725943E;17/11/2022;C;C;maison;;;2.7;113.9;30540;30;805260.76;6300034.85;Milhaud;5002.8
2330E0208397N;23/01/2023;C;A;appartement;;individuel;3;36.4;30000;30;809508.79;6305492.85;N̨mes;1157.1
2330E1323006C;20/04/2023;E;B;appartement;;individuel;2.7;75.2;30700;30;815694.29;6327974.5;Saint-Quentin-la-Poterie;8908.6
2530E3175404G;07/10/2025;C;B;appartement;1948;individuel;2.5;40.5;30000;30;809347.44;6305019.84;N̨mes;2058.4
2530E3896531X;12/12/2025;D;B;appartement;;individuel;2.5;36;30000;30;809315.05;6305233.12;N̨mes;2926.8
2230E1545807I;06/07/2022;C;C;maison;1949;;2.3;110.3;30700;30;813622.27;6324491.52;Uz̬s;10489.9
2430E3817146P;29/10/2024;C;A;maison;1949;;2.6;142.5;30900;30;808402.57;6304929.74;N̨mes;8737.8
2430E2403064V;03/07/2024;C;B;appartement;1930;individuel;2.6;33.4;30000;30;809504.7;6305869.88;N̨mes;1775.1
2130E0919122A;14/12/2021;C;A;appartement;1996;individuel;2.4;21;30000;30;809230.98;6304606.18;N̨mes;336
2630E0058137K;09/01/2026;B;A;maison;1997;;2.5;120;30980;30;798316.3;6301396.22;Saint-Dionisy;10370.5
2230E0265188T;10/02/2022;B;A;appartement;2008;individuel;2.5;46.1;30900;30;808479.47;6303427.88;N̨mes;703.8
2530E0291965T;28/01/2025;A;A;appartement;2019;individuel;2.5;42.7;30000;30;811847.35;6304781.53;N̨mes;658
2530E3232836E;13/10/2025;B;A;maison;1950;;2.7;183.6;30700;30;813964.76;6324303.42;Uz̬s;9140.2
2130E0674754G;11/11/2021;C;C;appartement;2009;individuel;2.5;50.4;30700;30;813627.12;6325593.12;Uz̬s;1868
2530E2141209N;29/06/2025;C;A;appartement;;individuel;2.5;41;30000;30;811340.16;6306140.53;N̨mes;1525
2530E3422646O;29/10/2025;C;A;maison;1986;;2.4;86.9;30129;30;817640.79;6302949.54;Manduel;6162.6
2230E0163929E;27/01/2022;B;A;maison;2001;;2.5;79;30620;30;805973.43;6296426.55;Aubord;3043.1
2530E2973590E;19/09/2025;C;B;maison;1900;;3;182.6;30390;30;831375.92;6317028.06;Est̩zargues;27927.4
2330E2738251P;16/08/2023;C;B;maison;1983;;2.7;143.8;30430;30;806928.52;6349153.96;M̩jannes-le-Clap;15339.7
2330E0274148K;27/01/2023;D;B;appartement;1949;individuel;2.5;15.1;30000;30;809238.02;6305099.65;N̨mes;1427.2
2430E4124060Z;22/11/2024;E;B;appartement;;individuel;2.5;109;30210;30;825508.43;6316739.13;Remoulins;14945.7
2630E0019536T;06/01/2026;B;A;maison;2001;;2.5;134.1;30128;30;815762.74;6297366.58;Garons;6889.2
2630E0075617S;12/01/2026;C;C;appartement;;individuel;2.5;61.9;30000;30;810073.06;6305346.68;N̨mes;3741.2
2430E4517503K;20/12/2024;E;C;appartement;;individuel;2.7;39.1;30100;30;785684.72;6337125.62;Al̬s;5340.8
2530E0879299N;14/03/2025;C;C;appartement;2019;individuel;2.5;28.1;30000;30;810982.67;6303978.48;N̨mes;537.4
2530E0781100Q;07/03/2025;C;B;appartement;;individuel;2.3;63;30300;30;829262.91;6307304.14;Comps;3837.4
2630E0023882X;06/01/2026;C;B;maison;1983;;2.5;117.7;30360;30;794277.3;6332943.73;Monteils;9104.1
2430E0104649G;11/01/2024;B;B;appartement;2011;collectif;2.5;58.8;30000;30;810251.86;6305450.37;N̨mes;1187.7
2630E0020588F;06/01/2026;C;A;appartement;1955;individuel;2.5;60;30160;30;787165.86;6356130.14;Bess̬ges;3338.3
2430E1231068B;29/03/2024;B;A;appartement;1850;individuel;2.3;72;30200;30;833395.6875;6338334.5;Orsan;6905.8
2530E3878508S;10/12/2025;E;E;appartement;1959;individuel;2.5;54.8;30000;30;809560.45;6303925.01;N̨mes;11841.6
2430E0602575G;20/02/2024;B;A;maison;2020;;2.5;122.3;30640;30;807215.51;6292584.4;Beauvoisin;4725.4
2330E0566616E;21/02/2023;B;A;maison;2011;;2.5;102;30129;30;820112.2;6304624.26;Redessan;4787.4
